Domain,Type,Sponsoring Organisation,Date
.equipment,generic,"Corn Station, LLC",2026-02-10
.erni,generic,ERNI Group Holding AG,2026-02-10
.esq,generic,Charleston Road Registry Inc.,2026-02-10
.estate,generic,"Trixy Park, LLC",2026-02-10
.eurovision,generic,European Broadcasting Union (EBU),2026-02-10
.eus,generic,Puntueus Fundazioa,2026-02-10
.events,generic,"Pioneer Maple, LLC",2026-02-10
.everbank,generic,EverBank,2026-02-10
.exchange,generic,"Spring Falls, LLC",2026-02-10
.expert,generic,"Magic Pass, LLC",2026-02-10
.exposed,generic,"Victor Beach, LLC",2026-02-10
.express,generic,"Sea Sunset, LLC",2026-02-10
.fail,generic,"Atomic Pipe, LLC",2026-02-10
.faith,generic,dot Faith Limited,2026-02-10
.fan,generic,Asiamix Digital Ltd,2026-02-10
.fans,generic,Asiamix Digital Limited,2026-02-10
.farm,generic,"Just Maple, LLC",2026-02-10
.fashion,generic,Top Level Domain Holdings Limited,2026-02-10
.feedback,generic,"Top Level Spectrum, Inc.",2026-02-10
.film,generic,Motion Picture Domain Registry Pty Ltd,2026-02-10
.finance,generic,"Cotton Cypress, LLC",2026-02-10
.financial,generic,"Just Cover, LLC",2026-02-10
.firmdale,generic,Firmdale Holdings Limited,2026-02-10
.fish,generic,"Fox Woods, LLC",2026-02-10
.fishing,generic,Top Level Domain Holdings Limited,2026-02-10
.fit,generic,Minds + Machines Group Limited,2026-02-10
.fitness,generic,"Brice Orchard, LLC",2026-02-10
.flights,generic,"Fox Station, LLC",2026-02-10
.florist,generic,"Half Cypress, LLC",2026-02-10
.flowers,generic,"Uniregistry, Corp.",2026-02-10
.flsmidth,generic,FLSmidth A/S,2026-02-10
.fly,generic,Charleston Road Registry Inc.,2026-02-10
.foo,generic,Charleston Road Registry Inc.,2026-02-10
.football,generic,"Foggy Farms, LLC",2026-02-10
.forex,generic,DOTFOREX REGISTRY LTD,2026-02-10
.forsale,generic,"United TLD Holdco, LLC",2026-02-10
.foundation,generic,"John Dale, LLC",2026-02-10
.frl,generic,FRLregistry B.V.,2026-02-10
.frogans,generic,OP3FT,2026-02-10
.fund,generic,"John Castle, LLC",2026-02-10
.furniture,generic,"Lone Fields, LLC",2026-02-10
.futbol,generic,"United TLD Holdco, Ltd.",2026-02-10
.gal,generic,Asociación puntoGAL,2026-02-10
.gallery,generic,"Sugar House, LLC",2026-02-10
.garden,generic,Top Level Domain Holdings Limited,2026-02-10
.gbiz,generic,Charleston Road Registry Inc.,2026-02-10
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2026-02-10
.gent,generic,COMBELL GROUP NV/SA,2026-02-10
.ggee,generic,"GMO Internet, Inc.",2026-02-10
.gift,generic,"Uniregistry, Corp.",2026-02-10
.gifts,generic,"Goose Sky, LLC",2026-02-10
.gives,generic,United TLD Holdco Ltd.,2026-02-10
.glass,generic,"Black Cover, LLC",2026-02-10
.gle,generic,Charleston Road Registry Inc.,2026-02-10
.global,generic,Dot Global Domain Registry Limited,2026-02-10
.globo,generic,Globo Comunicação e Participações S.A,2026-02-10
.gmail,generic,Charleston Road Registry Inc.,2026-02-10
.gmo,generic,"GMO Internet, Inc.",2026-02-10
.gmx,generic,1&1 Mail & Media GmbH,2026-02-10
.gold,generic,"June Edge, LLC",2026-02-10
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2026-02-10
.golf,generic,"Lone Falls, LLC",2026-02-10
.goo,generic,NTT Resonant Inc.,2026-02-10
.goog,generic,Charleston Road Registry Inc.,2026-02-10
.google,generic,Charleston Road Registry Inc.,2026-02-10
.gop,generic,"Republican State Leadership Committee, Inc.",2026-02-10
.graphics,generic,"Over Madison, LLC",2026-02-10
.gratis,generic,"Pioneer Tigers, LLC",2026-02-10
.green,generic,Afilias Limited,2026-02-10
.gripe,generic,"Corn Sunset, LLC",2026-02-10
.guge,generic,Charleston Road Registry Inc.,2026-02-10
.guide,generic,"Snow Moon, LLC",2026-02-10
.guitars,generic,"Uniregistry, Corp.",2026-02-10
.guru,generic,"Pioneer Cypress, LLC",2026-02-10
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2026-02-10
.hangout,generic,Charleston Road Registry Inc.,2026-02-10
.haus,generic,"United TLD Holdco, LTD.",2026-02-10
.healthcare,generic,"Silver Glen, LLC",2026-02-10
.help,generic,"Uniregistry, Corp.",2026-02-10
.here,generic,Charleston Road Registry Inc.,2026-02-10
.hermes,generic,Hermes International,2026-02-10
.hiphop,generic,"Uniregistry, Corp.",2026-02-10
.hiv,generic,dotHIV gemeinnuetziger e.V.,2026-02-10
.holdings,generic,"John Madison, LLC",2026-02-10
.holiday,generic,"Goose Woods, LLC",2026-02-10
.homes,generic,"DERHomes, LLC",2026-02-10
.horse,generic,Top Level Domain Holdings Limited,2026-02-10
.host,generic,DotHost Inc.,2026-02-10
.hosting,generic,"Uniregistry, Corp.",2026-02-10
.house,generic,"Sugar Park, LLC",2026-02-10
.how,generic,Charleston Road Registry Inc.,2026-02-10
.ibm,generic,International Business Machines Corporation,2026-02-10
.ifm,generic,ifm electronic gmbh,2026-02-10
.immo,generic,"Auburn Bloom, LLC",2026-02-10
.immobilien,generic,United TLD Holdco Ltd.,2026-02-10
.industries,generic,"Outer House, LLC",2026-02-10
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2026-02-10
.info,generic,Afilias Limited,2026-02-10
.ing,generic,Charleston Road Registry Inc.,2026-02-10
.ink,generic,"Top Level Design, LLC",2026-02-10
.institute,generic,"Outer Maple, LLC",2026-02-10
.insure,generic,"Pioneer Willow, LLC",2026-02-10
.international,generic,"Wild Way, LLC",2026-02-10
.investments,generic,"Holly Glen, LLC",2026-02-10
.irish,generic,Dot-Irish LLC,2026-02-10
.iwc,generic,Richemont DNS Inc.,2026-02-10
.java,generic,Oracle Corporation,2026-02-10
